Timestamp,sht_motor[0].measure.speed_rpm,Timestamp,sht_motor[0].measure.real_current,Timestamp,sht_controller[0].pid_speed.Output,Timestamp,ref_rpm_1,
17197,0,17197,0,17197,3.8741e-34,17197,0,
88329,0,88329,0,88329,3.8741e-34,88329,0,
175587,0,175587,0,175587,3.8741e-34,175587,0,
247822,0,247822,0,247822,3.8741e-34,247822,0,
306008,0,306008,0,306008,3.8741e-34,306008,0,
364349,0,364349,0,364349,3.8741e-34,364349,0,
424445,0,424445,0,424445,3.8741e-34,424445,0,
483707,0,483707,0,483707,3.8741e-34,483707,0,
554875,0,554875,0,554875,3.8741e-34,554875,0,
615318,0,615318,0,615318,3.8741e-34,615318,0,
1038415,0,1038415,-95,1038415,0,1038415,6000,
1172847,0,1172847,12,1172847,0,1172847,6000,
1220400,0,1220400,-43,1220400,0,1220400,6000,
1289878,0,1289878,-39,1289878,0,1289878,6000,
1359782,0,1359782,18,1359782,0,1359782,6000,
1417881,0,1417881,-40,1417881,0,1417881,6000,
1483141,0,1483141,-37,1483141,0,1483141,6000,
1550005,0,1550005,18,1550005,0,1550005,6000,
1602441,0,1602441,19,1602441,0,1602441,6000,
1670438,0,1670438,12,1670438,0,1670438,6000,
1720636,0,1720636,-45,1720636,0,1720636,6000,
1775963,0,1775963,-37,1775963,0,1775963,6000,
1831351,0,1831351,-33,1831351,0,1831351,6000,
1892314,0,1892314,-44,1892314,0,1892314,6000,
1943537,0,1943537,12,1943537,0,1943537,6000,
2002672,0,2002672,11,2002672,0,2002672,6000,
2071999,0,2071999,17,2071999,0,2071999,6000,
2128755,0,2128755,-43,2128755,0,2128755,6000,
2192128,0,2192128,-44,2192128,0,2192128,6000,
2246587,0,2246587,12,2246587,0,2246587,6000,
2308041,0,2308041,18,2308041,0,2308041,6000,
2361924,0,2361924,-43,2361924,0,2361924,6000,
2423925,0,2423925,18,2423925,0,2423925,6000,
2490183,0,2490183,18,2490183,0,2490183,6000,
2558941,0,2558941,-43,2558941,0,2558941,6000,
2610853,0,2610853,23,2610853,0,2610853,6000,
2676589,0,2676589,19,2676589,0,2676589,6000,
2729788,0,2729788,18,2729788,0,2729788,6000,
2777804,0,2777804,11,2777804,0,2777804,6000,
2846392,0,2846392,-37,2846392,0,2846392,6000,
2909461,0,2909461,-44,2909461,0,2909461,6000,
2976182,0,2976182,70,2976182,0,2976182,6000,
3033860,0,3033860,12,3033860,0,3033860,6000,
3094758,0,3094758,7,3094758,0,3094758,6000,
3184009,0,3184009,-217,3184009,0,3184009,6000,
3255457,0,3255457,12,3255457,0,3255457,6000,
3310266,0,3310266,11,3310266,0,3310266,6000,
3371804,0,3371804,75,3371804,0,3371804,6000,
3454086,0,3454086,-38,3454086,0,3454086,6000,
3526090,0,3526090,18,3526090,0,3526090,6000,
3593878,0,3593878,25,3593878,0,3593878,6000,
3650462,0,3650462,-38,3650462,0,3650462,6000,
3719397,0,3719397,17,3719397,0,3719397,6000,
3773078,0,3773078,18,3773078,0,3773078,6000,
3837519,0,3837519,10,3837519,0,3837519,6000,
3900830,0,3900830,24,3900830,0,3900830,6000,
3969251,0,3969251,18,3969251,0,3969251,6000,
4025376,0,4025376,-37,4025376,0,4025376,6000,
4098223,0,4098223,-45,4098223,0,4098223,6000,
4164104,0,4164104,-43,4164104,0,4164104,6000,
4231532,0,4231532,-43,4231532,0,4231532,6000,
