Timestamp,ref_rpm_1,Timestamp,sht_controller[1].pid_speed.Output,Timestamp,sht_motor[1].measure.real_current,Timestamp,sht_motor[1].measure.speed_rpm,
4060217,7000,4060217,0,4060217,2,4060217,0,
4090701,7000,4090701,0,4090701,8,4090701,0,
4123431,7000,4123431,0,4123431,-56,4123431,0,
4145050,7000,4145050,0,4145050,57,4145050,0,
4190279,7000,4190279,0,4190279,-8,4190279,0,
4231016,7000,4231016,0,4231016,-2,4231016,0,
4263792,7000,4263792,0,4263792,59,4263792,0,
4290772,7000,4290772,0,4290772,8,4290772,0,
4329706,7000,4329706,0,4329706,-100,4329706,0,
4358959,7000,4358959,0,4358959,14,4358959,0,
4388968,7000,4388968,0,4388968,15,4388968,0,
4420042,7000,4420042,0,4420042,-56,4420042,0,
4452977,7000,4452977,0,4452977,3,4452977,0,
4484317,7000,4484317,0,4484317,-46,4484317,0,
4517230,7000,4517230,0,4517230,-2,4517230,0,
4561547,7000,4561547,0,4561547,8,4561547,0,
4592589,7000,4592589,0,4592589,8,4592589,0,
4624171,7000,4624171,0,4624171,-51,4624171,0,
4658170,7000,4658170,0,4658170,51,4658170,0,
4689934,7000,4689934,0,4689934,57,4689934,0,
4720958,7000,4720958,0,4720958,52,4720958,0,
4754738,7000,4754738,0,4754738,-100,4754738,0,
4782632,7000,4782632,0,4782632,58,4782632,0,
4813429,7000,4813429,0,4813429,62,4813429,0,
4846933,7000,4846933,0,4846933,-2,4846933,0,
4878628,7000,4878628,0,4878628,-45,4878628,0,
4906935,7000,4906935,0,4906935,2,4906935,0,
4956476,7000,4956476,0,4956476,-51,4956476,0,
4984697,7000,4984697,0,4984697,8,4984697,0,
5015652,7000,5015652,0,5015652,52,5015652,0,
5087415,7000,5087415,0,5087415,3,5087415,0,
5113566,7000,5113566,0,5113566,-45,5113566,0,
5176504,7000,5176504,0,5176504,13,5176504,0,
5204775,7000,5204775,0,5204775,-2,5204775,0,
5235993,7000,5235993,0,5235993,3,5235993,0,
5267035,7000,5267035,0,5267035,-41,5267035,0,
5298355,7000,5298355,0,5298355,-2,5298355,0,
5322269,7000,5322269,0,5322269,3,5322269,0,
5333141,7000,5333141,0,5333141,8,5333141,0,
5356369,7000,5356369,0,5356369,-3,5356369,0,
5387338,7000,5387338,0,5387338,20,5387338,0,
5418370,7000,5418370,0,5418370,-45,5418370,0,
5447698,7000,5447698,0,5447698,-49,5447698,0,
5479335,7000,5479335,0,5479335,9,5479335,0,
5510823,7000,5510823,0,5510823,-1,5510823,0,
5552376,7000,5552376,0,5552376,-2,5552376,0,
5567538,7000,5567538,0,5567538,3,5567538,0,
5578201,7000,5578201,0,5578201,3,5578201,0,
5602386,7000,5602386,0,5602386,4,5602386,0,
5612256,7000,5612256,0,5612256,8,5612256,0,
5634982,7000,5634982,0,5634982,8,5634982,0,
5664048,7000,5664048,0,5664048,3,5664048,0,
5696255,7000,5696255,0,5696255,-50,5696255,0,
5729472,7000,5729472,0,5729472,57,5729472,0,
5765646,7000,5765646,0,5765646,3,5765646,0,
5797984,7000,5797984,0,5797984,-45,5797984,0,
5830293,7000,5830293,0,5830293,58,5830293,0,
5854905,7000,5854905,0,5854905,8,5854905,0,
5890682,7000,5890682,0,5890682,51,5890682,0,
5921249,7000,5921249,0,5921249,-51,5921249,0,
5953752,7000,5953752,0,5953752,8,5953752,0,
5965284,7000,5965284,0,5965284,-55,5965284,0,
5976308,7000,5976308,0,5976308,8,5976308,0,
6016349,7000,6016349,0,6016349,2,6016349,0,
6048218,7000,6048218,0,6048218,-49,6048218,0,
6076887,7000,6076887,0,6076887,3,6076887,0,
6108342,7000,6108342,0,6108342,-1,6108342,0,
6139021,7000,6139021,0,6139021,-51,6139021,0,
6168434,7000,6168434,0,6168434,8,6168434,0,
6204724,7000,6204724,0,6204724,74,6204724,0,
